,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
0,202004,강원,건강보조식품 소매업,88823988.0
1,202004,강원,골프장 운영업,4708346820.0
2,202004,강원,과실 및 채소 소매업,1121028924.0
3,202004,강원,관광 민예품 및 선물용품 소매업,14360780.0
4,202004,강원,그외 기타 분류안된 오락관련 서비스업,0.0
5,202004,강원,그외 기타 스포츠시설 운영업,227200.0
6,202004,강원,그외 기타 종합 소매업,507395430.0
7,202004,강원,기타 대형 종합 소매업,6131116990.0
8,202004,강원,기타 수상오락 서비스업,396000.0
9,202004,강원,기타 외국식 음식점업,987772116.0
10,202004,강원,기타 주점업,246880200.0
11,202004,강원,기타음식료품위주종합소매업,8507703658.0
12,202004,강원,내항 여객 운송업,912000.0
13,202004,강원,마사지업,20879000.0
14,202004,강원,면세점,0.0
15,202004,강원,버스 운송업,0.0
16,202004,강원,비알콜 음료점업,1044819431.0
17,202004,강원,빵 및 과자류 소매업,1194583596.0
18,202004,강원,서양식 음식점업,2019421463.0
19,202004,강원,수산물 소매업,563392870.0
20,202004,강원,슈퍼마켓,10958678802.0
21,202004,강원,스포츠 및 레크레이션 용품 임대업,2648186438.0
22,202004,강원,여관업,400095956.0
23,202004,강원,여행사업,59888700.0
24,202004,강원,욕탕업,143206014.0
25,202004,강원,육류 소매업,1844174786.0
26,202004,강원,일반유흥 주점업,950692205.0
27,202004,강원,일식 음식점업,1466631145.0
28,202004,강원,자동차 임대업,5798200.0
29,202004,강원,전시 및 행사 대행업,53275110.0
30,202004,강원,정기 항공 운송업,0.0
31,202004,강원,중식 음식점업,1416482365.0
32,202004,강원,차량용 가스 충전업,491474024.0
33,202004,강원,차량용 주유소 운영업,14353932582.0
34,202004,강원,체인화 편의점,8488324140.0
35,202004,강원,택시 운송업,37400.0
36,202004,강원,피자 햄버거 샌드위치 및 유사 음식점업,1361142676.0
37,202004,강원,한식 음식점업,20173514913.0
38,202004,강원,호텔업,144752778.0
39,202004,강원,화장품 및 방향제 소매업,476728251.0
40,202004,강원,휴양콘도 운영업,523228496.0
41,202004,경기,건강보조식품 소매업,1360437976.0
42,202004,경기,골프장 운영업,19988214572.0
43,202004,경기,과실 및 채소 소매업,9213165909.0
44,202004,경기,관광 민예품 및 선물용품 소매업,129909140.0
45,202004,경기,그외 기타 분류안된 오락관련 서비스업,0.0
46,202004,경기,그외 기타 스포츠시설 운영업,7033950.0
47,202004,경기,그외 기타 종합 소매업,9288705135.0
48,202004,경기,기타 대형 종합 소매업,132731071862.0
49,202004,경기,기타 수상오락 서비스업,68578335.0
50,202004,경기,기타 외국식 음식점업,9848557382.0
51,202004,경기,기타 주점업,1096914727.0
52,202004,경기,기타음식료품위주종합소매업,21294721905.0
53,202004,경기,내항 여객 운송업,589500.0
54,202004,경기,마사지업,290144331.0
55,202004,경기,면세점,0.0
56,202004,경기,버스 운송업,2390298880.0
57,202004,경기,비알콜 음료점업,13518847407.0
58,202004,경기,빵 및 과자류 소매업,14708371754.0
59,202004,경기,서양식 음식점업,21748501783.0
60,202004,경기,수산물 소매업,4443544579.0
61,202004,경기,슈퍼마켓,137074421417.0
62,202004,경기,스포츠 및 레크레이션 용품 임대업,16692850396.0
63,202004,경기,여관업,2875426197.0
64,202004,경기,여행사업,9283510.0
65,202004,경기,욕탕업,1314382180.0
66,202004,경기,육류 소매업,19878689466.0
67,202004,경기,일반유흥 주점업,4809913016.0
68,202004,경기,일식 음식점업,9723233526.0
69,202004,경기,자동차 임대업,1625263026.0
70,202004,경기,전시 및 행사 대행업,1222905622.0
71,202004,경기,정기 항공 운송업,0.0
72,202004,경기,중식 음식점업,15442870165.0
